,Word,times_used_hrc,times_used_dt
0,rt,728,171
1,for,723,551
2,trump,631,205
3,we,522,322
4,you,426,587
5,our,393,203
6,donald,374,38
7,hillary,297,348
8,not,266,191
9,his,254,98
10,he,236,195
11,it,232,217
12,as,200,139
13,make,196,171
14,can,193,85
15,what,189,92
16,i,187,761
17,your,186,110
18,just,169,201
19,one,158,79
20,all,155,200
21,if,152,98
22,people,144,161
23,president,142,67
24,when,132,82
25,her,131,143
26,do,129,89
27,trump's,127,15
28,should,125,70
29,more,124,109
30,than,120,69
31,no,119,130
32,their,117,64
33,my,116,231
34,"""i",114,4
35,an,114,80
36,she,109,167
37,america,106,164
38,would,105,94
39,how,104,77
40,every,102,19
41,like,102,99
42,or,99,65
43,get,99,147
44,need,97,35
45,but,96,105
46,us,96,55
47,up,96,74
48,out,94,155
49,clinton,94,179
50,going,93,93
51,american,90,52
52,it's,87,30
53,tax,81,22
54,they,81,154
55,first,78,34
56,time,78,74
57,women,77,27
58,know,75,36
59,never,75,94
60,plan,75,8
61,#debatenight,74,7
62,last,72,79
63,want,72,65
64,help,71,14
65,families,71,11
66,only,70,89
67,sure,69,9
68,good,68,46
69,country,68,53
70,hillary's,67,21
71,americans,67,18
72,vote,66,104
73,right,66,22
74,work,65,15
75,@hillaryclinton,64,18
76,been,63,84
77,got,63,43
78,why,62,62
79,campaign,62,42
80,take,62,32
81,pence,61,13
82,election,60,20
83,live,60,25
84,go,59,61
85,years,59,27
86,because,58,48
87,"""we",58,3
88,most,57,28
89,new,57,146
90,believe,56,43
91,let's,56,13
92,other,55,45
93,watch,55,40
94,pay,55,13
95,you're,55,9
96,now,55,98
97,see,55,66
98,me,54,202
99,back,54,65
100,great,54,402
101,many,54,95
102,it’s,53,6
103,next,53,17
104,mike,52,13
105,things,52,26
106,#debate,51,39
107,candidate,51,26
108,say,51,29
109,those,50,17
110,proud,49,25
111,each,49,3
112,can't,49,45
113,let,48,31
114,much,48,61
115,best,48,23
116,own,47,10
117,says,47,36
118,could,47,22
119,we're,46,4
120,man,46,17
121,ever,46,40
122,wants,46,37
123,,46,259
124,"""hillary",45,4
125,too,45,18
126,we’re,44,3
127,him,44,37
128,president.,44,11
129,against,44,61
130,still,44,15
131,always,43,22
132,white,43,11
133,everyone,43,31
134,#vpdebate,43,16
135,give,43,16
136,economy,43,13
137,united,42,19
138,don't,42,65
139,there,42,39
140,way,42,38
141,fight,42,23
142,working,42,18
143,made,41,45
144,millions,41,32
145,#rncincle,41,11
146,trump.,41,17
147,college,41,1
148,million,41,29
149,woman,40,12
150,day,40,34
151,said,40,68
152,it.,40,16
153,where,40,31
154,health,39,6
155,he's,39,11
156,real,39,17
157,doesn't,38,25
158,join,38,133
159,running,38,19
160,here's,38,2
161,into,38,28
162,here,38,15
163,stand,37,14
164,making,37,23
165,trump’s,37,2
166,love,37,52
167,debate,36,32
168,days,36,10
169,even,36,53
170,put,36,29
171,@timkaine,36,4
172,them,36,40
173,any,35,16
174,better,35,20
175,some,35,15
176,he’s,34,1
177,@realdonaldtrump,34,258
178,don’t,34,5
179,"""the",34,10
180,gun,34,4
181,stronger,34,3
182,had,34,72
183,life,34,5
184,doesn’t,34,5
185,that's,33,13
186,thing,33,9
187,thank,33,506
188,win,33,46
189,can’t,33,4
190,were,32,45
191,family,32,12
192,really,32,48
193,support,32,42
194,deserve,31,2
195,build,31,9
196,anyone,31,14
197,think,31,29
198,care,31,15
199,matter,31,4
200,world,31,24
201,choice,31,9
202,everything,30,11
203,national,30,33
204,"you,",30,32
205,presidential,30,36
206,fighting,29,13
207,over,29,52
208,keep,29,28
209,someone,29,8
210,before,29,13
211,these,29,18
212,voting,29,18
213,young,29,3
214,kind,28,4
215,"""she",28,2
216,la,28,4
217,stop,28,28
218,economic,28,11
219,ready,28,9
220,come,27,20
221,public,27,6
222,business,27,9
223,"trump,",27,11
224,child,27,2
225,student,26,1
226,@potus,26,1
227,today,26,53
228,hard,26,21
229,show,26,40
230,tell,26,8
231,look,26,51
232,did,26,48
233,together,26,20
234,let’s,26,1
235,person,26,24
236,jobs,26,46
237,future,26,8
238,—donald,25,1
239,https://…,25,3
240,trail,25,2
241,foreign,25,19
242,black,25,2
243,while,25,30
244,"america,",25,2
245,down,25,24
246,taxes,25,11
247,makes,25,8
248,obama,25,56
249,words,24,9
250,something,24,6
251,knows,24,13
252,big,24,113
253,https:…,24,2
254,part,24,5
255,two,24,29
256,very,24,147
257,after,24,39
258,am,24,121
259,job,23,51
260,republican,23,64
261,us.,23,3
262,"""if",23,1
263,hillary’s,23,5
264,share,23,5
265,policy,23,15
266,run,23,30
267,clear,23,2
268,actually,23,6
269,lot,23,13
270,change,23,16
271,nuclear,23,4
272,happy,23,15
273,tune,23,11
274,"""you",22,2
275,already,22,11
276,must,22,41
277,spent,22,20
278,same,22,20
279,paid,22,11
280,rights,22,4
281,elect,22,4
282,america.,22,10
283,isn't,22,7
284,history,22,16
285,chance,22,8
286,gets,21,12
287,called,21,18
288,under,21,24
289,i’m,21,8
290,violence,21,3
